#{"t_start": 1778086532.8526413, "env_id": "YaskawaGP7ReachPyBullet-Collision-Free-v0"}
r,l,t
-15.790399,61,715.592779
-15.305358,61,716.27892
-21.659951,113,717.565375
-17.830192,96,718.689823
-23.640393,164,720.610515
-10.522997,40,721.076269
-9.845636,54,721.705885
-51.57328,201,724.067514
-11.70466,52,724.688241
-13.360107,47,725.273675
-14.425874,57,725.932714
-12.511251,47,726.470276
-15.224766,161,728.378347
-14.01047,56,729.045151
-16.859891,62,729.773828
-24.824345,177,731.858261
-39.010073,398,736.498969
-17.864775,60,737.188126
-17.654407,60,737.908966
-12.431462,59,738.594945
-10.143869,39,739.045719
-16.809436,59,739.736115
-12.043837,52,740.341511
-12.532274,52,740.940472
-10.242332,87,741.95904
-15.85039,62,742.720634
-51.88509,403,747.625836
-12.333477,78,748.615414
-11.776472,42,749.120034
-11.07037,43,749.642636
-14.739334,51,750.253562
-13.146794,48,750.841016
-23.436139,151,752.67719
-8.304986,42,753.187505
-46.019793,468,758.932895
-15.633282,76,759.876372
-7.839873,21,760.129694
-12.602921,50,760.748468
-13.540003,60,761.477078
-11.288262,41,761.986715
-13.329821,48,762.586112
-38.613515,447,768.167198
-12.489313,45,768.713737
-12.885331,87,769.849699
-9.347484,43,770.389064
-13.786243,94,771.556613
-11.58042,52,772.193908
-8.900263,37,772.631766
-12.817347,50,773.23846
-10.68859,63,774.015448
-9.544223,29,779.734978
-8.234133,47,780.35189
-6.736919,33,780.742548
-12.315234,76,781.629622
-15.429558,55,782.302789
-17.755412,94,783.39398
-20.052533,125,784.847939
-11.43284,52,785.462849
-17.99113,62,786.193262
-13.451198,102,787.393473
-8.936228,58,788.159299
-13.953951,49,788.784377
-13.215018,53,789.425663
-19.111883,123,790.944206
-11.374085,71,791.792557
-7.946973,39,792.298176
-10.414106,43,792.809659
-42.122489,500,798.979464
-21.070449,81,799.957046
-13.499197,56,800.631124
-16.874089,91,801.755484
-9.902988,46,802.303406
-11.842548,104,803.588246
-8.444621,40,804.092921
-43.854199,500,810.236978
-17.871493,61,810.968671
-12.218075,53,811.617025
-42.191017,500,817.780146
-36.246787,500,823.890555
-26.100773,122,825.368611
-4.558985,28,825.702746
-8.932503,38,826.150881
-31.275104,389,830.912633
-29.779142,176,833.040434
-11.45948,176,835.218862
-18.88083,60,835.958358
-10.885157,47,836.526396
-31.209267,350,845.551008
-16.189401,53,846.23213
-18.006997,54,846.851444
-13.274216,51,847.441775
-23.793596,123,848.89026
-11.493872,44,849.400203
-12.665741,57,850.112051
-17.69707,94,851.31198
-7.004478,43,851.818223
-12.405225,49,852.424706
-38.343771,500,858.302981
-11.379558,73,859.152543
-10.410615,51,859.734957
-17.152873,104,860.929412
-18.085049,120,862.322589
-17.787534,172,864.359614
-12.017104,55,865.011047
-14.93321,82,865.963786
-12.75969,74,866.833078
-7.627142,40,867.305234
-14.573911,49,867.876677
-13.26276,93,868.949167
-15.693388,80,869.909878
-7.918113,55,870.555765
-6.908774,38,870.991723
-13.798935,50,871.570942
-21.967358,107,872.817763
-57.19798,412,877.64769
-68.692239,500,883.529169
-13.514981,55,884.151506
-19.448102,76,885.039189
-15.108091,58,885.703748
-9.884402,46,886.239347
-15.085423,54,886.867635
-11.387422,91,887.944703
-20.403379,198,890.342506
-13.480843,56,891.024997
-13.09587,53,891.660103
-15.483033,57,892.35518
-24.562685,144,894.144314
-14.935915,59,894.872945
-11.275732,49,895.469646
-20.574392,265,898.7166
-28.101615,313,902.588925
-15.847654,54,903.240977
-7.148746,34,903.658855
-8.453467,39,904.134583
-17.083611,76,911.422407
-8.798082,39,911.91064
-32.733625,305,915.417623
-45.99584,500,921.284792
-9.10116,37,921.715855
-14.528894,53,922.321576
-11.53125,46,922.851132
-20.180359,183,924.988407
-15.072681,75,925.924585
-15.151008,53,926.563846
-15.093794,57,927.237172
-6.220741,50,927.836129
-8.248353,48,928.384068
-12.11529,52,928.990446
-12.948275,76,929.879211
-9.953481,42,930.362756
-11.987099,46,930.900749
-15.606097,59,931.578936
-8.963543,43,932.095203
-9.471194,26,932.423021
-13.585068,47,932.975594
-16.323777,54,933.598065
-14.72144,69,934.389154
-21.933461,156,936.209543
-9.320855,37,936.638766
-15.192944,50,937.216109
-11.199462,51,937.804506
-6.809053,32,938.175514
-6.070085,13,938.326785
-9.217695,38,938.807381
-12.65816,50,939.403731
-8.560559,24,939.723876
-18.716033,118,941.272204
-12.827616,48,941.851379
-20.538895,137,943.562877
-12.207006,48,944.155696
-13.372209,47,944.722205
-12.280815,59,945.475863
-12.190587,40,945.965765
-11.207703,52,946.60842
-14.561478,66,947.417949
-13.512316,60,948.142981
-10.084501,43,948.65961
-12.740713,51,949.277384
-8.273364,56,949.961748
-8.40941,45,950.54023
-13.753547,62,951.293296
-17.838866,139,953.008632
-56.422878,500,959.125978
-32.542641,267,962.394435
-13.652891,70,963.249498
-41.340121,500,969.391855
-46.267161,500,983.683503
-8.388367,52,984.293232
-8.364376,39,984.733246
-15.391698,51,985.335609
-15.952138,216,987.876021
-14.342219,89,988.910655
-15.098698,50,989.469189
-13.8661,60,990.148345
-6.270866,33,990.554873
-13.81162,114,991.890324
-19.23044,153,993.674139
-14.511889,82,994.615011
-11.651262,75,995.516078
-15.885577,126,997.030339
-8.990468,55,997.68465
-9.837902,59,998.370817
-12.421866,52,998.965913
-11.781359,87,999.989662
-10.611454,67,1000.766184
-15.241596,34,1001.163157
-8.174089,44,1001.659793
-18.689608,51,1002.239758
-12.016779,61,1002.945581
-12.51398,49,1003.555918
-25.721585,116,1004.913173
-19.596201,121,1006.318838
-11.103168,53,1006.925775
-11.594291,49,1007.489836
-52.149764,265,1010.597907
-11.402327,47,1011.141634
-14.706975,43,1011.635344
-42.541198,399,1016.277421
-13.737363,76,1017.204081
-15.358619,49,1017.76743
-12.993257,50,1018.35386
-16.782724,69,1019.146646
-14.926779,71,1019.968419
-14.135926,95,1021.073141
-27.78331,172,1023.091931
-19.781503,79,1024.005031
-14.391225,77,1024.912687
-10.717054,59,1025.600227
-9.652349,42,1026.096064
-12.919129,59,1026.788184
-54.660726,500,1032.637101
-100.624062,491,1046.551352
-23.244539,189,1048.702969
-31.345094,275,1051.906077
-16.122289,148,1053.620612
-10.84103,42,1054.107426
-8.547251,40,1054.573292
-30.974148,225,1057.206212
-12.831689,69,1058.010067
-10.515628,48,1058.567815
-12.896426,56,1059.223062
-11.75442,43,1059.724397
-9.612184,39,1060.176215
-15.538524,44,1060.686848
-9.613069,48,1061.235936
-14.710879,57,1061.897168
-12.539933,49,1062.495803
-10.921154,43,1063.010929
-77.541781,500,1068.830565
-9.980896,55,1069.474602
-16.537254,86,1070.470557
-11.913514,45,1070.994186
-11.215424,62,1071.713234
-14.153104,50,1072.296703
-48.943795,500,1078.124327
-14.614632,72,1078.950818
-13.40014,45,1079.475415
-27.322446,292,1082.915062
-13.215531,45,1083.447052
-13.084891,96,1084.558082
-22.439388,111,1085.860439
-43.093166,500,1091.707672
-11.976278,76,1092.597205
-8.470986,40,1093.069943
-31.36098,327,1096.898723
-32.944988,288,1100.264536
-16.559543,94,1101.367291
-15.536261,87,1102.374832
-12.213393,89,1103.392591
-13.06417,46,1103.932152
-8.675032,57,1104.594615
-8.992078,22,1106.971052
-13.78646,89,1108.045341
-11.987032,51,1108.644559
-9.077174,42,1109.131827
-11.468,41,1109.59858
-13.356509,67,1110.382802
-12.68834,49,1110.941867
-46.471045,420,1115.874008
-21.766323,167,1117.808619
-11.014704,51,1118.39859
-27.021735,217,1120.967518
-17.26344,59,1121.651642
-16.045149,53,1122.267027
-17.272632,117,1123.62249
-9.889296,42,1124.119184
-9.188471,38,1124.548034
-17.911062,55,1125.176327
-8.779779,41,1125.662452
-10.662093,42,1126.156545
-18.066638,55,1126.827689
-11.129237,41,1127.301448
-23.473012,137,1128.900467
-9.301088,51,1129.498901
-12.152181,47,1130.064552
-41.813556,500,1135.968861
-43.022984,500,1141.822187
-11.947019,73,1142.676902
-6.290463,31,1143.036941
-11.24132,61,1143.745226
-8.298844,38,1144.18166
-20.008296,115,1145.566847
-15.358442,89,1146.590685
-15.715387,88,1147.602017
-5.583373,30,1147.952049
-11.410251,45,1148.483852
-19.848641,128,1149.965421
-15.882799,78,1150.883683
-10.72859,48,1151.439886
-15.55167,73,1152.312527
-13.668899,61,1153.029191
-23.655528,276,1156.220697
-25.137131,206,1158.636443
-45.038201,500,1164.445089
-12.886343,46,1164.995615
-14.199381,74,1171.062434
-12.141008,44,1171.606505
-15.227284,53,1172.236821
-10.557858,45,1172.762745
-9.05842,46,1173.28837
-12.988956,53,1173.919229
-25.177032,117,1175.29886
-12.593398,43,1175.790902
-15.988638,93,1176.877552
-10.092106,60,1177.57155
-7.205356,33,1177.989257
-11.478963,53,1178.614838
-14.527817,59,1179.302996
-3.792652,41,1179.776731
-10.520807,50,1180.351165
-6.807395,36,1180.775032
-11.412315,46,1181.300208
-11.207723,44,1181.805448
-12.382799,46,1182.340898
-14.731628,50,1182.9119
-12.814533,51,1183.500351
-16.089848,55,1184.132582
-10.515307,60,1184.859228
-13.108674,55,1185.491092
-14.917556,53,1186.110869
-7.848952,35,1186.522768
-10.767733,67,1187.294683
-13.104171,73,1188.145382
-30.88254,227,1190.827205
-17.854881,74,1191.705012
-13.485608,63,1192.431665
-10.354831,49,1193.002664
-18.593506,110,1194.29104
-15.315175,53,1194.9156
-10.485187,39,1195.385489
-9.263176,67,1196.163334
-8.702706,40,1196.63607
-11.291633,42,1197.127867
-13.01301,48,1197.739967
-23.738248,162,1199.637973
-15.495377,64,1200.370775
-10.884146,48,1200.931418
-11.080738,45,1201.461002
