train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/success_rate,time/episodes
1.4691519737243652,-22.545805639999998,15687,1195434,128.02,0.10686150193214417,0.001,1195535,76,0.5,9600
1.3108826875686646,-22.7873229,15703,1196837,130.72,0.1268235296010971,0.001,1196938,76,0.49,9610
1.1573328971862793,-21.480838130000006,15709,1197341,126.42,0.06084391847252846,0.001,1197442,76,0.48,9620
1.6018710136413574,-20.471846109999998,15722,1198454,119.17,0.0975959375500679,0.001,1198555,76,0.48,9630
1.3438161611557007,-18.77342477,15732,1199292,107.85,0.15452997386455536,0.001,1199393,76,0.5,9640
1.3426357507705688,-17.20997507,15739,1199842,101.06,0.09175074100494385,0.001,1199943,76,0.49,9650
1.5242111682891846,-16.5685438,15751,1200544,94.72,0.1717628538608551,0.001,1200645,76,0.51,9660
1.396134853363037,-16.64270265,15762,1201509,96.12,0.12466814368963242,0.001,1201610,76,0.47,9670
1.2613697052001953,-16.546401090000003,15777,1202800,97.97,0.08153264969587326,0.001,1202901,76,0.51,9680
1.4556779861450195,-15.99536316,15788,1203740,93.67,0.08270766586065292,0.001,1203841,76,0.49,9690
1.5187817811965942,-17.025609999999997,15821,1205787,103.53,0.06822045147418976,0.001,1205888,76,0.49,9700
1.408231496810913,-16.15013095,15830,1206561,97.24,0.04360716789960861,0.001,1206662,76,0.49,9710
1.2333405017852783,-16.55215637,15840,1207403,100.62,0.0650867372751236,0.001,1207504,76,0.5,9720
1.3550195693969727,-15.876145359999999,15847,1208006,95.52,0.07120846211910248,0.001,1208107,76,0.52,9730
1.5382567644119263,-16.304339879999997,15865,1209577,102.85,0.09254077821969986,0.001,1209678,76,0.53,9740
1.551452875137329,-16.258736050000003,15877,1210159,103.17,0.0753728598356247,0.001,1210260,76,0.54,9750
1.4998018741607666,-16.36796862,15884,1210772,102.28,0.14143209159374237,0.001,1210873,76,0.52,9760
1.394341230392456,-17.07119975,15905,1212579,110.7,0.08133873343467712,0.001,1212680,76,0.51,9770
1.3011505603790283,-17.76711805,15931,1214728,119.28,0.08916334807872772,0.001,1214829,76,0.47,9780
1.346280574798584,-17.74194153,15945,1215685,119.45,0.12364760786294937,0.001,1215786,76,0.46,9790
1.5121716260910034,-16.62384307,15953,1216348,105.61,0.08223609626293182,0.001,1216449,76,0.47,9800
1.5223617553710938,-16.81291221,15962,1217178,106.17,0.33840975165367126,0.001,1217279,76,0.48,9810
1.626673936843872,-16.73121658,15974,1218136,107.33,0.1153370812535286,0.001,1218237,76,0.49,9820
1.5507694482803345,-16.60438899,15980,1218674,106.68,0.43441683053970337,0.001,1218775,76,0.5,9830
1.275343656539917,-16.19499317,15992,1219656,100.79,0.10993596166372299,0.001,1219757,76,0.48,9840
1.3241798877716064,-16.6948467,16007,1220468,103.09,0.05703354626893997,0.001,1220569,76,0.51,9850
1.4658714532852173,-17.27434936,16025,1221962,111.9,0.14860372245311737,0.001,1222063,76,0.49,9860
1.2967150211334229,-17.29996262,16041,1223235,106.56,0.08856247365474701,0.001,1223336,76,0.48,9870
1.2900059223175049,-16.83580602,16055,1224476,97.48,0.14142902195453644,0.001,1224577,76,0.53,9880
1.4626531600952148,-17.465436410000002,16079,1225825,101.4,0.06926771998405457,0.001,1225926,76,0.55,9890
1.598412036895752,-17.37585869,16087,1226442,100.94,0.08728006482124329,0.001,1226543,76,0.57,9900
1.3602769374847412,-17.572019299999997,16104,1227898,107.2,0.04784724488854408,0.001,1227999,76,0.55,9910
1.5867735147476196,-17.936342820000004,16117,1228959,108.23,0.14011165499687195,0.001,1229060,76,0.55,9920
1.3926914930343628,-18.85055659,16142,1230547,118.73,0.07512463629245758,0.001,1230648,76,0.49,9930
