#{"t_start": 1778042111.1141067, "env_id": "YaskawaGP7ReachPyBullet-Default-v0"}
r,l,t
-11.42734,47,601.788678
-17.122735,58,602.485164
-3.555248,26,602.804152
-5.17652,32,603.199096
-17.057222,99,604.462157
-16.658074,83,605.484391
-17.85804,99,606.705746
-5.649914,34,607.123833
-14.637699,85,608.202114
-11.205029,70,609.042469
-3.997447,26,609.347677
-4.640191,31,609.716666
-20.822955,159,611.652774
-3.12514,22,611.91604
-7.389266,52,612.524678
-11.308467,45,613.03858
-4.721471,28,613.370695
-7.056233,37,613.868335
-7.840435,38,614.336927
-5.691211,64,615.171695
-6.057314,38,615.64041
-10.320448,44,616.169993
-7.762834,38,616.612809
-4.73847,30,616.957915
-7.206397,44,617.471542
-18.52757,300,621.010489
-11.102531,46,621.578175
-2.922112,9,621.687858
-4.799069,33,622.086113
-8.976817,45,622.617186
-2.803171,23,622.928183
-11.412687,49,623.503499
-10.83928,42,624.008384
-5.019715,32,624.405323
-6.915453,15,624.592822
-9.0818,49,625.194595
-4.939945,39,625.686077
-7.633126,50,626.269702
-11.039827,220,628.898915
-5.337889,36,629.321392
-15.994413,55,629.955878
-8.164931,48,630.515848
-6.047265,13,630.669466
-5.858914,13,630.865754
-5.150522,30,631.244534
-14.714355,70,632.075191
-14.832197,118,633.455921
-3.831153,61,634.202284
-10.362535,45,634.743765
-2.746954,12,634.889377
-3.893811,25,635.196555
-5.595129,13,635.34815
-2.919703,14,635.505728
-7.32853,38,635.947062
-12.201898,45,636.475573
-2.62358,10,636.591264
-35.338405,269,639.836408
-18.16787,300,643.420791
-10.117654,53,644.074435
-11.64388,72,644.948854
-4.550225,28,645.334822
-3.322642,23,645.60787
-17.112289,300,649.158788
-8.32458,41,649.64474
-6.89948,37,650.07246
-13.9281,50,650.66911
-9.724667,56,651.328279
-9.69825,50,651.933498
-3.952413,11,652.074123
-5.502784,13,652.234188
-2.352984,21,652.553038
-5.913076,33,652.950973
-9.334153,51,653.566388
-5.940968,40,654.053775
-3.764617,24,654.331009
-10.603435,58,655.034709
-10.911156,55,655.734806
-22.701033,300,659.485454
-4.864594,31,659.868347
-14.433889,103,661.158704
-6.673265,16,661.352216
-6.841704,47,661.924998
-4.998386,31,662.308152
-15.537257,81,663.307507
-37.697842,263,666.673194
-22.671721,161,668.704737
-3.578562,9,668.822422
-10.905061,58,669.546486
-16.58706,91,670.671853
-3.365809,16,670.87545
-5.275981,51,671.525594
-4.895424,30,671.898597
-12.213987,62,672.671995
-12.453169,80,673.689584
-30.772146,300,677.391613
-4.045725,8,677.488325
-4.014999,9,677.602021
-5.290861,10,677.724693
-38.336495,300,681.627056
-6.641859,34,682.436449
-8.936777,70,683.324567
-10.882793,44,683.887339
-7.296255,35,684.339132
-5.956045,32,684.74704
-4.092158,27,685.097133
-4.181995,26,685.493044
-7.781564,36,685.952815
-11.786221,43,686.502345
-5.476028,36,686.951498
-3.519244,25,687.268652
-8.946586,38,687.752936
-28.648267,300,691.780135
-15.582911,95,693.085769
-18.159885,83,694.142227
-7.927962,41,694.656043
-33.411265,300,698.351813
-23.345558,300,702.027385
-22.080546,175,704.235411
-9.599353,40,704.740511
-3.906232,26,705.053947
-8.655719,45,705.605428
-9.633301,178,707.995533
-11.380371,61,708.813054
-11.819404,79,709.868671
-13.207694,63,710.615025
-6.145409,34,711.138625
-9.093269,38,711.618341
-15.431146,52,712.264612
-8.85729,49,712.847054
-3.670649,26,713.147252
-4.133534,25,713.440469
-4.253897,28,713.765598
-15.297534,67,714.609342
-10.041497,48,715.173832
-13.51857,66,715.980073
-6.63782,33,716.382994
-9.604104,48,717.035249
-14.770197,56,717.706472
-11.948395,43,718.255006
-4.9712,29,718.593217
-6.338482,35,718.99913
-11.493148,99,720.183452
-6.6675,34,720.591388
-4.61885,27,720.910505
-5.243935,30,721.252591
-8.992943,42,721.757242
-5.023047,29,722.128248
-10.636571,40,722.620931
-9.400185,42,723.114611
-9.845666,42,723.609288
-7.602532,41,724.100973
-8.818838,41,724.604626
-9.437382,43,725.117255
-11.632762,61,725.861265
-12.291013,61,726.5963
-4.450908,26,726.919436
-3.178048,24,727.206667
-11.681079,56,727.90807
-13.801993,92,728.997741
-27.238267,300,732.703765
-15.345887,216,735.284931
-6.676835,35,735.704201
-4.754331,28,736.030328
-12.972053,47,736.650669
-18.399858,81,737.609539
-17.740475,58,738.329066
-17.938508,114,739.668483
-8.403239,41,740.150194
-3.893367,26,740.470338
-6.623869,36,740.879244
-5.736708,32,741.255814
-7.722536,51,741.880143
-4.750383,28,742.213254
-5.812231,11,742.362853
-6.011194,30,742.72289
-12.061647,77,743.69529
-9.855541,42,744.210912
-28.931519,300,747.673407
-16.542545,82,748.620439
-7.928916,38,749.056901
-4.151522,27,749.368444
-18.081094,300,753.08409
-14.295507,137,754.685781
-12.49732,45,755.204566
-12.129951,45,755.734314
-6.215008,34,756.139774
-6.580494,39,756.606563
-7.008877,35,757.011686
-5.404869,32,757.392356
-14.526316,54,758.014837
-3.37063,28,758.340786
-11.206795,48,758.951549
-17.357265,154,760.779259
-8.160197,43,761.279299
-2.798397,23,761.544867
-6.023981,31,761.902279
-4.287484,30,762.253264
-18.512863,300,765.749287
-14.780036,53,766.367248
-22.661874,300,769.940043
-4.204186,28,770.255229
-11.130705,43,770.766146
-5.612692,33,771.159799
-14.11051,55,771.786147
-2.295662,19,771.997614
-3.372017,25,772.287466
-11.280832,51,772.901303
-19.733261,138,774.506835
-2.52281,22,774.762123
-12.020714,47,775.313435
-9.394625,37,775.755021
-8.6575,41,776.27767
-6.884021,50,776.861081
-5.663308,32,777.234084
-6.187373,30,777.58235
-13.382408,47,778.124679
-8.550691,61,778.837774
-8.668248,48,779.393287
-11.870438,49,779.960768
-3.928744,25,780.249
-7.841576,54,780.877413
-8.830958,63,781.617436
-4.967103,38,782.055062
-16.229155,61,782.763715
-11.561045,49,783.336185
-8.729451,39,783.784745
-10.975852,62,784.545867
-6.533841,50,785.127407
-11.910736,45,785.64419
-3.813053,27,785.955333
-17.132222,58,786.636998
-3.85998,14,786.79754
-15.806498,57,787.470667
-11.287593,53,788.08071
-10.549205,44,788.588606
-12.036296,43,789.087874
-9.420175,64,789.844195
-11.016227,42,790.322385
-11.203002,49,790.890674
-11.127327,76,791.764585
-9.02909,37,792.198454
-5.112407,29,792.527545
-18.768862,112,793.830694
-2.815483,22,794.086011
-4.987364,34,794.479582
-2.432953,21,794.715537
-6.354328,36,795.188837
-4.451573,28,795.51745
-5.05801,28,795.846435
-11.729579,47,796.387382
-11.253925,50,796.960365
-7.110909,73,797.795637
-3.476743,25,798.078079
-20.583687,215,800.569396
-7.687157,59,801.248697
-16.511579,211,803.714742
-8.748218,47,804.261618
-8.276115,88,805.286919
-25.523013,211,807.721394
-9.566117,45,808.247705
-7.37677,39,808.705853
-12.221054,83,809.655318
-11.683349,49,810.22846
-6.96331,74,811.075642
-7.729774,16,811.312983
-19.924136,300,814.786221
-16.494866,55,815.431006
-5.145809,32,815.802013
-11.314272,49,816.377902
-4.793979,11,816.508553
-4.161998,27,816.815775
-9.285554,41,817.297458
-10.001472,46,817.827766
-4.056112,25,818.119953
-12.148918,92,819.181068
-11.554251,53,819.805459
-24.231075,300,823.330824
-8.942293,49,823.887654
-10.174785,41,824.355403
-3.92814,26,824.658592
-13.831872,51,825.238407
-9.908027,41,825.720899
-9.236164,41,826.190335
-6.346271,27,826.502268
-3.374982,24,826.787734
-3.63141,25,827.078642
-10.321729,51,827.670952
-4.981499,51,828.252423
-4.289971,26,828.560237
-15.322515,63,829.280402
-6.683386,36,829.683543
-5.140181,31,830.044394
-6.52086,35,830.452275
-11.776492,88,831.529307
-11.808586,56,832.176046
-12.111914,56,832.8358
-8.117677,43,833.351
-7.018481,41,833.818266
-15.003085,155,835.60938
-2.164272,20,835.84319
-11.934157,62,836.581746
-15.721891,77,837.466369
-11.146746,49,838.037316
-6.148864,31,838.388349
-9.062749,41,838.867421
-7.947508,21,839.109572
-7.365928,34,839.504516
-3.205139,22,839.758014
-7.312881,86,840.797546
-3.093687,22,841.050843
-2.682477,22,841.310807
-8.794187,52,841.903445
-3.561437,23,842.177694
-5.149138,28,842.49452
-9.481413,40,842.95991
-5.397696,28,843.277521
-8.237024,47,843.824296
-10.466246,102,845.020484
-22.6708,300,848.546946
-15.653147,79,849.480895
-15.905008,83,850.431056
-10.559618,166,852.34338
-7.749965,40,852.811129
-7.250839,33,853.189441
-19.006383,115,854.518384
-27.357273,300,858.030672
-4.316835,13,858.182266
-4.759296,27,858.504376
-5.455847,33,858.888466
-7.097183,36,859.299997
-6.591859,54,859.920434
-9.00415,41,860.396326
-6.411866,32,860.768303
-12.08754,96,861.866102
-25.618662,300,865.405455
-13.585067,83,866.370428
-11.167014,54,867.009418
-8.735366,40,867.474824
-37.782913,300,870.943014
-32.148359,300,874.459594
-9.788991,42,874.948504
-6.816083,67,875.724962
-4.206503,39,876.175582
-4.477499,30,876.522279
-8.635518,39,876.979816
-10.542336,48,877.540783
-27.697425,300,881.016385
-16.02005,61,881.718608
-12.953656,101,882.929736
-2.261562,21,883.176549
-3.224962,25,883.470531
-18.402947,181,885.552687
-12.171581,46,886.087858
-7.752967,67,886.869674
-4.435936,27,887.182388
-11.310281,52,887.791592
-17.667551,64,888.535471
-18.898762,300,892.05924
-5.224077,29,892.388454
-5.921733,36,892.815239
-9.376636,43,893.309685
-5.791481,34,893.703737
-15.80978,62,894.422843
-10.196087,76,895.310567
-19.145912,300,898.791573
-4.847492,29,899.125015
-5.957146,31,899.493626
-7.126556,56,900.137609
-8.076217,36,900.552001
-7.019645,36,901.018032
-7.73585,37,901.453673
-4.537283,27,901.768758
-2.683985,23,902.041058
-4.823872,29,902.377753
-10.414135,46,902.907798
-8.494504,61,903.619817
-4.213544,27,903.935683
-16.475144,171,905.90919
-12.640993,71,906.728961
