rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/fps,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,rollout/success_rate,time/time_elapsed,train/learning_rate
-8.77053167,53.49,1.4736225605010986,81,433562,0.00794591661542654,8320,433461,0.93,5306,0.001
-8.94184565,54.63,1.689892053604126,81,434039,0.0024689212441444397,8330,433938,0.93,5311,0.001
-8.965381619999999,54.53,1.6362271308898926,81,434407,0.004835698753595352,8340,434306,0.93,5316,0.001
-8.9588886,54.33,1.6251220703125,81,434842,0.024917801842093468,8350,434741,0.93,5321,0.001
-8.718494660000001,53.37,1.576175570487976,81,435215,0.0015134213026612997,8360,435114,0.95,5326,0.001
-8.66779951,48.65,1.6044063568115234,81,435687,0.0245607178658247,8370,435586,0.95,5331,0.001
-8.56256647,45.64,1.715067982673645,81,436163,0.009483613073825836,8380,436062,0.97,5337,0.001
-8.6574729,46.26,1.5184885263442993,81,436679,0.010822510346770287,8390,436578,0.94,5343,0.001
-8.884814200000001,48.92,1.576693058013916,81,437354,0.018825536593794823,8400,437253,0.94,5352,0.001
-8.82880081,51.44,1.479710578918457,81,438301,0.028728783130645752,8410,438200,0.93,5363,0.001
-9.345837769999997,59.09,1.721716046333313,81,439471,0.00810847245156765,8420,439370,0.91,5378,0.001
-9.613596289999998,63.69,1.5377016067504883,81,440408,0.015394741669297218,8430,440307,0.89,5389,0.001
-9.50772146,63.93,1.5262222290039062,81,440800,0.0037854963447898626,8440,440699,0.89,5394,0.001
-9.70970415,64.09,1.5499887466430664,81,441251,0.0021928022615611553,8450,441150,0.89,5400,0.001
-10.05215195,67.49,1.5644567012786865,81,441964,0.0037462497130036354,8460,441863,0.88,5408,0.001
-9.99628976,66.95,1.579197645187378,81,442382,0.005199115723371506,8470,442281,0.89,5413,0.001
-9.7674116,66.55,1.638431191444397,81,442818,0.006787932477891445,8480,442717,0.89,5419,0.001
-9.931118559999998,68.82,1.530447244644165,81,443561,0.010344966314733028,8490,443460,0.91,5428,0.001
-10.079775829999999,71.97,1.4926981925964355,81,444551,0.003648711834102869,8500,444450,0.89,5440,0.001
-9.88467923,66.46,1.4814116954803467,81,444947,0.003637726651504636,8510,444846,0.89,5444,0.001
-9.36880153,59.25,1.6119486093521118,81,445396,0.022057512775063515,8520,445295,0.89,5450,0.001
-9.28573647,55.44,1.5902161598205566,81,445952,0.007873116061091423,8530,445851,0.88,5457,0.001
-9.652260349999999,56.41,1.4984976053237915,81,446441,0.008698757737874985,8540,446340,0.87,5462,0.001
-9.368714279999999,57.3,1.5634915828704834,81,446981,0.005189273040741682,8550,446880,0.87,5469,0.001
-9.12619354,54.07,1.5719764232635498,81,447371,0.03765372186899185,8560,447270,0.88,5474,0.001
-9.12973517,54.53,1.5357120037078857,81,447835,0.0042679812759160995,8570,447734,0.87,5479,0.001
-9.147764189999998,54.49,1.5616220235824585,81,448267,0.009423050098121166,8580,448166,0.85,5485,0.001
-8.969419239999999,53.65,1.7248846292495728,81,448926,0.022699691355228424,8590,448825,0.84,5493,0.001
-9.01399013,51.98,1.5429294109344482,81,449749,0.009419457986950874,8600,449648,0.86,5502,0.001
-8.89765287,51.63,1.7730960845947266,81,450110,0.005755753722041845,8610,450009,0.88,5507,0.001
-8.85366733,50.78,1.4819011688232422,81,450474,0.0029458007775247097,8620,450373,0.9,5511,0.001
-8.82541016,52.04,1.48348069190979,81,451156,0.00731569854542613,8630,451055,0.93,5519,0.001
-8.606223660000001,51.26,1.6327743530273438,81,451567,0.012884244322776794,8640,451466,0.93,5525,0.001
-9.095651279999998,55.04,1.4895002841949463,81,452485,0.013187377713620663,8650,452384,0.91,5536,0.001
-9.106779770000001,55.17,1.419172763824463,81,452888,0.032946325838565826,8660,452787,0.9,5540,0.001
-8.94394469,54.08,1.3920851945877075,81,453243,0.0215288158506155,8670,453142,0.88,5545,0.001
-9.229813839999998,55.33,1.3200321197509766,81,453800,0.09033027291297913,8680,453699,0.87,5551,0.001
-9.054578499999998,51.99,0.9435418844223022,81,454125,0.06572811305522919,8690,454024,0.84,5555,0.001
-8.49945303,48.14,0.7859015464782715,81,454563,0.07850868254899979,8700,454462,0.82,5561,0.001
-8.489395539999999,47.55,0.9684042930603027,81,454865,0.1329275667667389,8710,454764,0.78,5564,0.001
-8.345306919999999,47.32,0.20884081721305847,81,455206,0.0661633089184761,8720,455105,0.74,5568,0.001
-8.057310229999999,43.82,0.406602680683136,81,455538,0.09210357069969177,8730,455437,0.69,5572,0.001
-8.548244009999998,52.65,-0.5924657583236694,81,456832,0.16561463475227356,8740,456731,0.64,5588,0.001
-7.927811290000001,46.02,-0.32082444429397583,81,457087,0.11532182991504669,8750,456986,0.57,5591,0.001
-8.36861993,47.0,-0.731486439704895,81,457588,0.0842408537864685,8760,457487,0.51,5597,0.001
